year;composer;title;accompaniment;movements;permalink;trebleclef;tempo_1;minSPN_1;maxSPN_1;minMIDI_1;maxMIDI_1;ambitus_1;tempo_2;minSPN_2;maxSPN_2;minMIDI_2;maxMIDI_2;ambitus_2;tempo_3;minSPN_3;maxSPN_3;minMIDI_3;maxMIDI_3;ambitus_3;tempo_4;minSPN_4;maxSPN_4;minMIDI_4;maxMIDI_4;ambitus_4;minSPN_work;maxSPN_work;minMIDI_work;maxMIDI_work;ambitus_work
1838;Mendelssohn, Felix;Cello Sonata No.1, Op.45;piano;3;https://imslp.org/wiki/Special:ReverseLookup/854096;None;Allegro vivace;C2;D5;36;74;38;Andante;C2;G4;36;67;31;Allegro assai;C#2;Bb4;37;70;33; ; ; ; ; ;0;C2;D5;36;74;38
1843;Mendelssohn, Felix;Cello Sonata No.2, Op.58;piano;4;https://imslp.org/wiki/Special:ReverseLookup/284216;None;Allegro assai vivace;C#2;D5;37;74;37;Allegretto scherzando;C#2;B4;37;71;34;Adagio;C2;A4;36;69;33;Molto allegro e vivace;C2;F5;36;77;41;C2;F5;36;77;41
1851;Moscheles, Ignaz;Cello Sonata, Op.121;piano;4;https://imslp.org/wiki/Special:ReverseLookup/95381;Loco;Allegro espressivo e appassionato;C2;E5;36;76;40;Scherzo ballabile. Allegretto quasi allegro;C2;C#5;36;73;37;Ballade (in böhmischer Weise). Andantino;C2;E5;36;76;40;Finale. Allegro vivace ma non troppo;C2;F#5;36;78;42;C2;F#5;36;78;42
1852;Bennett, William Sterndale;Sonata Duo for Piano and Cello, Op.32;piano;3;https://imslp.org/wiki/Special:ReverseLookup/527460;Loco;Adagio sostenuto - Allegro giusto;C2;E5;36;76;40;Minuetto caracteristique;E2;E5;40;76;36;Allegretto piacevole, animato;C#2;E5;37;76;39; ; ; ; ; ;0;C2;E5;36;76;40
1858;Farrenc, Louise;Cello Sonata, Op.46;piano;3;https://imslp.org/wiki/Special:ReverseLookup/316592;None;Allegro moderato;C2;D5;36;74;38;Andante sostenuto;Db2;Bb4;37;70;33;Finale. Allegro;C2;D5;36;74;38; ; ; ; ; ;0;C2;D5;36;74;38
1859;Macfarren, Walter;Cello Sonata in E minor;piano;3;https://imslp.org/wiki/Special:ReverseLookup/30923;Loco;Allegro appassionato;C2;C5;36;72;36;Scherzo. Allegretto giocoso;D2;A4;38;69;31;Adagio. Più tosto recitativo;C#2;B5;37;83;46; ; ; ; ; ;0;C2;B5;36;83;47
1865;Brahms, Johannes;Cello Sonata No.1, Op.38;piano;3;https://imslp.org/wiki/Special:ReverseLookup/84396;None;Allegro non troppo;C2;E5;36;76;40;Allegretto quasi Menuetto;C#2;C5;37;72;35;Allegro;C2;D#5;36;75;39; ; ; ; ; ;0;C2;E5;36;76;40
1866;Reinecke, Carl;Cello Sonata No.2, Op.89;piano;3;https://imslp.org/wiki/Special:ReverseLookup/32736;Loco;Lento - Allegro molto moderato;C2;F#5;36;78;42;Andante;C#2;B#4;37;72;35;Finale. Moderato;C2;D5;36;74;38; ; ; ; ; ;0;C2;F#5;36;78;42
1872;Saint-Saëns, Camille;Cello Sonata No.1, Op.32;piano;3;https://imslp.org/wiki/Special:ReverseLookup/519333;None;Allegro;C2;C5;36;72;36;Andante tranquillo e sostenuto;C2;Cb5;36;71;35;Allegro moderato;C2;Bb4;36;70;34; ; ; ; ; ;0;C2;C5;36;72;36
1879;Lange Jr., Samuel de;Cello Sonata No.1, Op.37;piano;4;https://imslp.org/wiki/Special:ReverseLookup/479982;None;Andante sostenuto - Allegro moderato;C2;D5;36;74;38;Vivo;C2;C5;36;72;36;Adagio;D2;A5;38;81;43;Agitato;C2;E5;36;76;40;C2;A5;36;81;45
