year;composer;title;accompaniment;movements;permalink;trebleclef;scope;minSPN;maxSPN;minMIDI;maxMIDI;ambitus;tempo
1760;Chiabrano, Gaspare Giuseppe Gaetano;Cello Sonata No.2 in C major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/545959;None;2;C3;F#4;48;66;18;Largo
1760;Chiabrano, Gaspare Giuseppe Gaetano;Cello Sonata No.2 in C major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/545959;None;3;C2;G4;36;67;31;Allegro
1760;Chiabrano, Gaspare Giuseppe Gaetano;Cello Sonata No.2 in C major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/545959;None;4; ; ; ; ; ; 
1760;Chiabrano, Gaspare Giuseppe Gaetano;Cello Sonata No.2 in C major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/545959;None;5;C2;G4;36;67;31; 
1765;Magito, Alexis;6 Cello Sonatas, Op.1 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/641034;None;1;D3;B4;50;71;21;Adagio
1765;Magito, Alexis;6 Cello Sonatas, Op.1 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/641034;None;2;D2;B4;38;71;33;Allegro moderato. Andante Piano
1765;Magito, Alexis;6 Cello Sonatas, Op.1 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/641034;None;3;A2;G4;45;67;22;Menuetto Primo. Menuetto Piano
1765;Magito, Alexis;6 Cello Sonatas, Op.1 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/641034;None;4; ; ; ; ; ; 
1765;Magito, Alexis;6 Cello Sonatas, Op.1 (Nr. 3);continuo;3;https://imslp.org/wiki/Special:ReverseLookup/641034;None;5;D2;B4;38;71;33; 
1766;Boccherini, Luigi;Cello Sonata in G major, G.5;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/68662;None;1;D3;A5;50;81;31;Largo
1766;Boccherini, Luigi;Cello Sonata in G major, G.5;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/68662;None;2;G2;G5;43;79;36;Allegro alla Militaire
1766;Boccherini, Luigi;Cello Sonata in G major, G.5;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/68662;None;3;G2;D5;43;74;31;Menuetto
1766;Boccherini, Luigi;Cello Sonata in G major, G.5;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/68662;None;4; ; ; ; ; ; 
1766;Boccherini, Luigi;Cello Sonata in G major, G.5;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/68662;None;5;G2;A5;43;81;38; 
1770;Avondano, Pedro António;Cello Sonata in B-flat major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/370519;8vb;1;F2;G5;41;79;38;Andantino
1770;Avondano, Pedro António;Cello Sonata in B-flat major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/370519;8vb;2;A2;G5;45;79;34;Larghetto
1770;Avondano, Pedro António;Cello Sonata in B-flat major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/370519;8vb;3;C3;Eb6;48;87;39;Allegretto
1770;Avondano, Pedro António;Cello Sonata in B-flat major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/370519;8vb;4; ; ; ; ; ; 
1770;Avondano, Pedro António;Cello Sonata in B-flat major;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/370519;8vb;5;F2;Eb6;41;87;46; 
1770;Vandini, Antonio;Cello Sonata in E major, IAV 6;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/391844;8vb;1;F#3;C#5;54;73;19;Grave
1770;Vandini, Antonio;Cello Sonata in E major, IAV 6;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/391844;8vb;2;G#2;E5;44;76;32;Allegro
1770;Vandini, Antonio;Cello Sonata in E major, IAV 6;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/391844;8vb;3;B2;C#5;47;73;26;Allegro
1770;Vandini, Antonio;Cello Sonata in E major, IAV 6;continuo;3;https://imslp.org/wiki/Special:ReverseLookup/391844;8vb;4; ; ; ; ; ; 
